,emoji,sentiment,re_emoji
544,奧特曼r,pos,奧特曼r
545,陰險r,pos,陰險r
546,費解r,neu,費解r
547,攤手r,neu,攤手r
548,傑瑞r,pos,傑瑞r
549,黑線r,neu,黑線r
550,疑問r,neu,疑問r
551,乾杯r,pos,乾杯r
552,迷霧劇場r,pos,迷霧劇場r
553,掌寶熒光棒r,pos,掌寶熒光棒r
554,掌寶愛心r,pos,掌寶愛心r
555,暈r,neu,暈r
556,哆啦A夢微笑r,pos,哆啦A夢微笑r
557,哆啦A夢吃驚r,pos,哆啦A夢吃驚r
558,禮物r,pos,禮物r
559,傷心r,neg,傷心r
560,航天員r,pos,航天員r
561,熊貓r,pos,熊貓r
562,噓r,pos,噓r
563,圍觀r,pos,圍觀r
564,哆啦A夢害怕r,neu,哆啦A夢害怕r
565,來r,pos,來r
566,鋼鐵俠r,pos,鋼鐵俠r
567,吃驚r,neu,吃驚r
568,飛機r,pos,飛機r
569,怒罵r,neg,怒罵r
570,帶著微博去旅行r,pos,帶著微博去旅行r
571,豬頭r,pos,豬頭r
572,蠟燭r,pos,蠟燭r
573,音樂r,pos,音樂r
574,五仁月餅新r,pos,五仁月餅新r
575,大偵探皮卡丘微笑r,pos,大偵探皮卡丘微笑r
576,哆啦A夢花心r,pos,哆啦A夢花心r
577,錢r,pos,錢r
578,浮雲r,pos,浮雲r
579,男孩兒r,pos,男孩兒r
580,弗萊見錢眼開r,pos,弗萊見錢眼開r
581,圓月r,pos,圓月r
582,美國隊長r,pos,美國隊長r
583,頂r,neu,頂r
584,生而為贏r,pos,生而為贏r
585,女孩兒r,pos,女孩兒r
586,蜘蛛俠r,pos,蜘蛛俠r
587,驚奇隊長r,pos,驚奇隊長r
588,話筒r,pos,話筒r
589,掌寶加油r,pos,掌寶加油r
590,鷹眼r,pos,鷹眼r
591,奇異博士r,pos,奇異博士r
592,馬到成功r,pos,馬到成功r
593,聖誕老人r,pos,聖誕老人r
594,ali親一個r,pos,ali親一個r
595,愛心r,pos,愛心r
596,炸雞啤酒r,pos,炸雞啤酒r
597,米奇飛吻r,pos,米奇飛吻r
598,牛轟轟擁抱r,pos,牛轟轟擁抱r
599,紅燈籠r,pos,紅燈籠r
600,吃狗糧r,pos,吃狗糧r
601,冰雪奇緣雪寶r,pos,冰雪奇緣雪寶r
602,米奇愛你r,pos,米奇愛你r
603,打callR,pos,打callR
604,心R,pos,心R
605,允悲R,pos,允悲R
606,dogeR,pos,dogeR
607,爱你R,pos,爱你R
608,哈哈R,pos,哈哈R
609,嘻嘻R,pos,嘻嘻R
610,鼓掌R,pos,鼓掌R
611,笑cryR,pos,笑cryR
612,goodR,pos,goodR
613,赞R,pos,赞R
614,憧憬R,pos,憧憬R
615,太开心R,pos,太开心R
616,羞嗒嗒R,pos,羞嗒嗒R
617,鲜花R,pos,鲜花R
618,开学季R,pos,开学季R
619,偷笑R,pos,偷笑R
620,馋嘴R,pos,馋嘴R
621,色R,pos,色R
622,可爱R,pos,可爱R
623,给你小心心R,pos,给你小心心R
624,赢牛奶R,pos,赢牛奶R
625,抱一抱R,pos,抱一抱R
626,好喜欢R,pos,好喜欢R
627,兔子R,pos,兔子R
628,微笑R,pos,微笑R
629,舔屏R,pos,舔屏R
630,超话R,pos,超话R
631,抱抱R,pos,抱抱R
632,坏笑R,pos,坏笑R
633,awslR,pos,awslR
634,挤眼R,pos,挤眼R
635,可怜R,pos,可怜R
636,好爱哦R,pos,好爱哦R
637,酷R,pos,酷R
638,加油R,pos,加油R
639,笑而不语R,pos,笑而不语R
640,求关注R,pos,求关注R
641,跪了R,pos,跪了R
642,耶R,pos,耶R
643,亲亲R,pos,亲亲R
644,赞啊R,pos,赞啊R
645,单身狗R,neu,单身狗R
646,害羞R,pos,害羞R
647,并不简单R,pos,并不简单R
648,春游家族R,pos,春游家族R
649,玉兔R,pos,玉兔R
650,米奇比心R,pos,米奇比心R
651,笑哈哈R,pos,笑哈哈R
652,拳头R,pos,拳头R
653,给力R,pos,给力R
654,偷乐R,pos,偷乐R
655,中国赞R,pos,中国赞R
656,作揖R,pos,作揖R
657,思考R,pos,思考R
658,微风R,pos,微风R
659,小红花R,pos,小红花R
660,吃瓜R,pos,吃瓜R
661,求饶R,pos,求饶R
662,汗R,neu,汗R
663,酸R,pos,酸R
664,hahaR,pos,hahaR
665,蛋糕R,pos,蛋糕R
666,太阳R,pos,太阳R
667,裂开R,neu,裂开R
668,奥特曼R,pos,奥特曼R
669,挖鼻R,pos,挖鼻R
670,阴险R,pos,阴险R
671,费解R,neu,费解R
672,摊手R,neu,摊手R
673,杰瑞R,pos,杰瑞R
674,黑线R,neu,黑线R
675,吐R,neg,吐R
676,怒R,neg,怒R
677,okR,pos,okR
678,疑问R,neu,疑问R
679,威武R,pos,威武R
680,委屈R,pos,委屈R
681,干杯R,pos,干杯R
682,迷雾剧场R,pos,迷雾剧场R
683,掌宝荧光棒R,pos,掌宝荧光棒R
684,牛哞哞R,pos,牛哞哞R
685,掌宝爱心R,pos,掌宝爱心R
686,傻眼R,neu,傻眼R
687,握手R,pos,握手R
688,晕R,neu,晕R
689,哆啦A梦微笑R,pos,哆啦A梦微笑R
690,拜拜R,pos,拜拜R
