,emoji,channel,sentiment,re_emoji
556,[小黄人不屑],weibo,neg,\[小黄人不屑\]
557,[超人爸爸],weibo,pos,\[超人爸爸\]
558,[去污粉],douyin,neg,\[去污粉\]
559,[小黄人坏笑],weibo,pos,\[小黄人坏笑\]
560,[海王],weibo,pos,\[海王\]
561,[Rich],wechat,pos,\[Rich\]
562,[佐伊卖萌],weibo,pos,\[佐伊卖萌\]
563,[凯洛伦],weibo,pos,\[凯洛伦\]
564,[酷炫街舞给手],weibo,pos,\[酷炫街舞给手\]
565,[調皮],wechat,pos,\[調皮\]
566,[bobo抓狂],weibo,neu,\[bobo抓狂\]
567,[掌宝哭泣],weibo,pos,\[掌宝哭泣\]
568,[親親],wechat,pos,\[親親\]
569,[噢耶],weibo,pos,\[噢耶\]
570,[白羊],weibo,pos,\[白羊\]
571,[金榜题名],weibo,pos,\[金榜题名\]
572,[高考必胜],weibo,pos,\[高考必胜\]
573,[狮子王],weibo,pos,\[狮子王\]
574,[正义联盟logo],weibo,pos,\[正义联盟logo\]
575,[ali送礼物],weibo,pos,\[ali送礼物\]
576,[发呆中],weibo,neu,\[发呆中\]
577,[给跪了],douyin,neu,\[给跪了\]
578,[调休],weibo,pos,\[调休\]
579,[电视机],weibo,pos,\[电视机\]
580,[风],weibo,pos,\[风\]
581,[阴天],weibo,neu,\[阴天\]
582,[gbz得意],weibo,pos,\[gbz得意\]
583,[gbz真穿越],weibo,pos,\[gbz真穿越\]
584,[发],douyin,pos,\[发\]
585,[胖红微笑],weibo,pos,\[胖红微笑\]
586,[左边],douyin,neu,\[左边\]
587,[哪吒得意],weibo,pos,\[哪吒得意\]
588,[汤姆],weibo,pos,\[汤姆\]
589,[小黄人高兴],weibo,pos,\[小黄人高兴\]
590,[雪花],weibo,pos,\[雪花\]
591,[牛大发],weibo,pos,\[牛大发\]
592,[加鸡腿],douyin,pos,\[加鸡腿\]
593,[小黄人白眼],weibo,neu,\[小黄人白眼\]
594,[糗大了],wechat,neu,\[糗大了\]
595,[Smug],wechat,neu,\[Smug\]
596,[暈],wechat,neu,\[暈\]
597,[Pig],wechat,pos,\[Pig\]
598,[奮鬥],wechat,pos,\[奮鬥\]
599,[哪吒委屈],weibo,neu,\[哪吒委屈\]
600,[ala爱国],weibo,pos,\[ala爱国\]
601,[ali转圈哭],weibo,pos,\[ali转圈哭\]
602,[加油啊],weibo,pos,\[加油啊\]
603,[ali蹭],weibo,pos,\[ali蹭\]
604,[ali来吧],weibo,pos,\[ali来吧\]
605,[ali飞],weibo,pos,\[ali飞\]
606,[ali哇],weibo,pos,\[ali哇\]
607,[ali追],weibo,pos,\[ali追\]
608,[Toasted],wechat,neu,\[Toasted\]
609,[右太极],wechat,pos,\[右太极\]
610,[吓],wechat,neu,\[吓\]
611,[Beer],wechat,pos,\[Beer\]
612,[Watermelon],wechat,pos,\[Watermelon\]
613,[Coffee],wechat,pos,\[Coffee\]
614,[展览锦鲤],wechat,pos,\[展览锦鲤\]
615,[Speechless],wechat,neu,\[Speechless\]
616,[Yawn],wechat,neu,\[Yawn\]
617,[Packet],wechat,pos,\[Packet\]
618,[Fist],wechat,pos,\[Fist\]
619,[Puke],wechat,neg,\[Puke\]
620,[真诚脸],wechat,pos,\[真诚脸\]
621,[期待],wechat,pos,\[期待\]
622,[Dizzy],wechat,neu,\[Dizzy\]
623,[Peace],wechat,pos,\[Peace\]
624,[Drowsy],wechat,neu,\[Drowsy\]
625,[武汉加油],weibo,pos,\[武汉加油\]
626,[din撞墙],weibo,neu,\[din撞墙\]
627,[胖红拽],weibo,pos,\[胖红拽\]
628,[小V开心],weibo,pos,\[小V开心\]
629,[蕾伊],weibo,pos,\[蕾伊\]
630,[小猪惊讶],weibo,pos,\[小猪惊讶\]
631,[Surprise],wechat,pos,\[Surprise\]
632,[Slight],wechat,neu,\[Slight\]
633,[Scream],wechat,neg,\[Scream\]
634,[Awkward],wechat,neu,\[Awkward\]
635,[鄙視],wechat,neg,\[鄙視\]
636,[微笑],wechat,pos,\[微笑\]
637,[撇嘴],wechat,neu,\[撇嘴\]
638,[色],wechat,pos,\[色\]
639,[得意],wechat,pos,\[得意\]
640,[害羞],wechat,pos,\[害羞\]
641,[閉嘴],wechat,neu,\[閉嘴\]
642,[睡],wechat,neu,\[睡\]
643,[大哭],wechat,neu,\[大哭\]
644,[發怒],wechat,neg,\[發怒\]
645,[呲牙],wechat,pos,\[呲牙\]
646,[驚訝],wechat,pos,\[驚訝\]
647,[酷],wechat,pos,\[酷\]
648,[囧],wechat,neu,\[囧\]
649,[抓狂],wechat,neg,\[抓狂\]
650,[吐],wechat,neg,\[吐\]
651,[偷笑],wechat,pos,\[偷笑\]
652,[愉快],wechat,pos,\[愉快\]
653,[白眼],wechat,neu,\[白眼\]
654,[困],wechat,neu,\[困\]
655,[驚恐],wechat,neg,\[驚恐\]
656,[大笑],wechat,pos,\[大笑\]
657,[悠闲],wechat,neu,\[悠闲\]
658,[咒罵],wechat,neg,\[咒罵\]
659,[疑問],wechat,neu,\[疑問\]
660,[噓],wechat,neu,\[噓\]
661,[衰],wechat,neu,\[衰\]
662,[骷髏頭],wechat,neu,\[骷髏頭\]
663,[敲打],wechat,neu,\[敲打\]
664,[擦汗],wechat,neu,\[擦汗\]
665,[鼓掌],wechat,pos,\[鼓掌\]
666,[壞笑],wechat,pos,\[壞笑\]
667,[左哼哼],wechat,neu,\[左哼哼\]
668,[右哼哼],wechat,neu,\[右哼哼\]
669,[哈欠],wechat,neu,\[哈欠\]
670,[委屈],wechat,neu,\[委屈\]
671,[快哭了],wechat,neu,\[快哭了\]
672,[嚇],wechat,neu,\[嚇\]
673,[可憐],wechat,neu,\[可憐\]
674,[笑臉],wechat,pos,\[笑臉\]
675,[生病],wechat,neu,\[生病\]
676,[臉紅],wechat,neu,\[臉紅\]
677,[破涕為笑],wechat,pos,\[破涕為笑\]
678,[恐懼],wechat,neu,\[恐懼\]
679,[失望],wechat,neu,\[失望\]
680,[無語],wechat,neu,\[無語\]
681,[奸笑],wechat,pos,\[奸笑\]
682,[吃瓜],wechat,pos,\[吃瓜\]
683,[加油],wechat,pos,\[加油\]
684,[汗],wechat,neu,\[汗\]
685,[旺柴],wechat,pos,\[旺柴\]
686,[好的],wechat,pos,\[好的\]
687,[翻白眼],wechat,neu,\[翻白眼\]
688,[666],wechat,pos,\[666\]
689,[嘴唇],wechat,pos,\[嘴唇\]
690,[心碎],wechat,neg,\[心碎\]
691,[弱],wechat,neg,\[弱\]
692,[握手],wechat,pos,\[握手\]
693,[抱拳],wechat,pos,\[抱拳\]
694,[勾引],wechat,pos,\[勾引\]
695,[拳頭],wechat,pos,\[拳頭\]
696,[OK],wechat,pos,\[OK\]
697,[啤酒],wechat,pos,\[啤酒\]
698,[咖啡],wechat,pos,\[咖啡\]
699,[蛋糕],wechat,pos,\[蛋糕\]
700,[玫瑰],wechat,pos,\[玫瑰\]
701,[枯萎],wechat,neg,\[枯萎\]
702,[炸彈],wechat,pos,\[炸彈\]
703,[月亮],wechat,pos,\[月亮\]
704,[太陽],wechat,pos,\[太陽\]
705,[慶祝],wechat,pos,\[慶祝\]
706,[禮物],wechat,pos,\[禮物\]
707,[福],wechat,pos,\[福\]
708,[煙花],wechat,pos,\[煙花\]
709,[爆竹],wechat,pos,\[爆竹\]
710,[豬頭],wechat,pos,\[豬頭\]
711,[西瓜],wechat,pos,\[西瓜\]
712,[籃球],wechat,pos,\[籃球\]
713,[乒乓],wechat,pos,\[乒乓\]
714,[飯],wechat,pos,\[飯\]
715,[閃電],wechat,neu,\[閃電\]
716,[差勁],wechat,neg,\[差勁\]
717,[愛你],wechat,pos,\[愛你\]
718,[NO],wechat,neu,\[NO\]
719,[愛情],wechat,pos,\[愛情\]
720,[飛吻],wechat,pos,\[飛吻\]
721,[回頭],wechat,neu,\[回頭\]
722,[磕頭],wechat,neu,\[磕頭\]
723,[激動],wechat,pos,\[激動\]
724,[獻吻],wechat,pos,\[獻吻\]
725,[左太極],wechat,pos,\[左太極\]
726,[右太極],wechat,pos,\[右太極\]
727,[发呆],wechat,neu,\[发呆\]
728,[流泪],wechat,neu,\[流泪\]
729,[闭嘴],wechat,neu,\[闭嘴\]
730,[尴尬],wechat,neu,\[尴尬\]
731,[发怒],wechat,neg,\[发怒\]
732,[调皮],wechat,pos,\[调皮\]
733,[惊讶],wechat,pos,\[惊讶\]
734,[难过],wechat,neu,\[难过\]
735,[惊恐],wechat,neg,\[惊恐\]
736,[憨笑],wechat,pos,\[憨笑\]
737,[咒骂],wechat,neg,\[咒骂\]
738,[疑问],wechat,neu,\[疑问\]
739,[嘘],wechat,neu,\[嘘\]
740,[晕],wechat,neu,\[晕\]
741,[骷髅],wechat,neu,\[骷髅\]
742,[再见],wechat,neu,\[再见\]
743,[抠鼻],wechat,neu,\[抠鼻\]
744,[坏笑],wechat,pos,\[坏笑\]
745,[鄙视],wechat,neg,\[鄙视\]
746,[阴险],wechat,pos,\[阴险\]
747,[亲亲],wechat,pos,\[亲亲\]
748,[可怜],wechat,neu,\[可怜\]
749,[破涕为笑],wechat,pos,\[破涕为笑\]
750,[恐惧],wechat,neu,\[恐惧\]
751,[嘿哈],wechat,pos,\[嘿哈\]
752,[捂脸],wechat,pos,\[捂脸\]
753,[机智],wechat,pos,\[机智\]
754,[皱眉],wechat,neu,\[皱眉\]
755,[耶],wechat,pos,\[耶\]
756,[打脸],wechat,neu,\[打脸\]
757,[叹气],wechat,neu,\[叹气\]
758,[裂开],wechat,neu,\[裂开\]
759,[苦涩],wechat,neu,\[苦涩\]
760,[爱心],wechat,pos,\[爱心\]
761,[拥抱],wechat,pos,\[拥抱\]
762,[强],wechat,pos,\[强\]
763,[胜利],wechat,pos,\[胜利\]
764,[拳头],wechat,pos,\[拳头\]
765,[太阳],wechat,pos,\[太阳\]
766,[礼物],wechat,pos,\[礼物\]
767,[红包],wechat,pos,\[红包\]
768,[烟花],wechat,pos,\[烟花\]
769,[猪头],wechat,pos,\[猪头\]
770,[篮球],wechat,pos,\[篮球\]
771,[饭],wechat,pos,\[饭\]
772,[闪电],wechat,neu,\[闪电\]
773,[奋斗],wechat,pos,\[奋斗\]
774,[差劲],wechat,neg,\[差劲\]
775,[爱你],wechat,pos,\[爱你\]
776,[爱情],wechat,pos,\[爱情\]
777,[飞吻],wechat,pos,\[飞吻\]
778,[回头],wechat,neu,\[回头\]
779,[磕头],wechat,neu,\[磕头\]
780,[激动],wechat,pos,\[激动\]
781,[献吻],wechat,pos,\[献吻\]
782,[左太极],wechat,pos,\[左太极\]
783,[Shy],wechat,pos,\[Shy\]
784,[Silent],wechat,neu,\[Silent\]
785,[Sleep],wechat,neu,\[Sleep\]
786,[Ruthless],wechat,pos,\[Ruthless\]
787,[Tormented],wechat,neg,\[Tormented\]
788,[Panic],wechat,neg,\[Panic\]
789,[Commando],wechat,neu,\[Commando\]
